subject,subject_ID,session,outcome1,outcome2,outcome3,outcome4,prob1,prob2,choice,rt
1,S1,1,750,15,450,250,"0,70","0,30",2,6358
1,S1,1,480,105,400,180,"0,70","0,30",2,9675
1,S1,1,750,15,450,250,"0,50","0,50",2,4473
1,S1,1,290,60,350,20,"0,90","0,10",2,12188
1,S1,1,480,105,400,180,"0,99","0,01",1,4243
1,S1,1,430,380,680,70,"0,60","0,40",1,8207
1,S1,1,680,70,430,380,"0,40","0,60",2,9025
1,S1,1,230,110,335,10,"0,60","0,40",1,17713
1,S1,1,450,250,750,15,"1,00","0,00",2,10253
1,S1,1,480,105,400,180,"0,15","0,85",1,11787
1,S1,1,450,250,750,15,"0,60","0,40",1,16650
1,S1,1,750,15,450,250,"0,99","0,01",1,5322
1,S1,1,400,180,480,105,"0,20","0,80",1,16834
1,S1,1,450,250,750,15,"0,20","0,80",1,5794
1,S1,1,230,110,335,10,"0,30","0,70",1,5976
1,S1,1,400,180,480,105,"0,01","0,99",1,6076
1,S1,1,350,20,290,60,"0,20","0,80",2,12037
1,S1,1,290,60,350,20,"1,00","0,00",2,6218
1,S1,1,430,380,680,70,"0,95","0,05",2,7453
1,S1,1,335,10,230,110,"0,85","0,15",2,10038
1,S1,1,750,15,450,250,"0,05","0,95",2,2574
1,S1,1,290,60,350,20,"0,01","0,99",1,9038
1,S1,1,290,60,350,20,"0,50","0,50",2,42261
1,S1,1,350,20,290,60,"0,10","0,90",2,11131
1,S1,1,430,380,680,70,"0,30","0,70",1,4413
1,S1,1,680,70,430,380,"0,85","0,15",1,6274
1,S1,1,290,60,350,20,"0,15","0,85",1,5548
1,S1,1,480,105,400,180,"0,05","0,95",2,5450
1,S1,1,480,105,400,180,"0,50","0,50",2,9637
1,S1,1,750,15,450,250,"0,15","0,85",2,4405
1,S1,1,230,110,335,10,"0,20","0,80",1,4883
1,S1,1,430,380,680,70,"0,70","0,30",1,6949
1,S1,1,480,105,400,180,"0,00","1,00",2,4034
1,S1,1,430,380,680,70,"0,99","0,01",2,3751
1,S1,1,335,10,230,110,"1,00","0,00",1,3824
1,S1,1,230,110,335,10,"0,90","0,10",1,7541
1,S1,1,400,180,480,105,"0,10","0,90",1,9963
1,S1,1,335,10,230,110,"0,15","0,85",2,4700
1,S1,1,290,60,350,20,"0,95","0,05",2,5382
1,S1,1,290,60,350,20,"0,85","0,15",2,6829
1,S1,1,400,180,480,105,"0,30","0,70",1,5383
1,S1,1,335,10,230,110,"0,00","1,00",2,1861
1,S1,1,335,10,230,110,"0,40","0,60",2,4082
1,S1,1,450,250,750,15,"0,10","0,90",1,2165
1,S1,1,230,110,335,10,"0,99","0,01",2,5222
1,S1,1,230,110,335,10,"0,50","0,50",1,3777
1,S1,1,350,20,290,60,"0,05","0,95",2,3064
1,S1,1,430,380,680,70,"0,10","0,90",1,3076
1,S1,1,430,380,680,70,"0,20","0,80",1,2864
1,S1,1,400,180,480,105,"0,95","0,05",2,7685
1,S1,1,680,70,430,380,"0,01","0,99",2,3604
1,S1,1,430,380,680,70,"0,05","0,95",1,7099
1,S1,1,335,10,230,110,"0,01","0,99",2,2418
1,S1,1,430,380,680,70,"0,50","0,50",1,2785
1,S1,1,450,250,750,15,"0,01","0,99",1,3777
1,S1,1,430,380,680,70,"0,90","0,10",1,9392
1,S1,1,430,380,680,70,"0,80","0,20",1,4921
1,S1,1,350,20,290,60,"0,40","0,60",2,5682
1,S1,1,750,15,450,250,"0,80","0,20",2,6724
1,S1,1,450,250,750,15,"0,30","0,70",1,14802
1,S1,1,680,70,430,380,"0,00","1,00",2,3062
1,S1,1,350,20,290,60,"0,60","0,40",2,4995
1,S1,1,680,70,430,380,"1,00","0,00",1,11601
1,S1,1,290,60,350,20,"0,99","0,01",2,3847
1,S1,1,350,20,290,60,"0,80","0,20",2,15092
1,S1,1,400,180,480,105,"1,00","0,00",2,3500
1,S1,1,480,105,400,180,"0,90","0,10",1,7422
1,S1,1,290,60,350,20,"0,70","0,30",2,5504
1,S1,1,450,250,750,15,"0,85","0,15",1,7785
1,S1,1,350,20,290,60,"0,00","1,00",2,6396
1,S1,1,230,110,335,10,"0,95","0,05",2,7752
1,S1,1,290,60,350,20,"0,30","0,70",1,3940
1,S1,1,480,105,400,180,"0,80","0,20",1,7557
1,S1,1,450,250,750,15,"0,95","0,05",1,7034
1,S1,1,750,15,450,250,"0,00","1,00",2,3348
1,S1,1,230,110,335,10,"0,80","0,20",1,9430
1,S1,1,230,110,335,10,"0,10","0,90",1,4581
1,S1,1,400,180,480,105,"0,40","0,60",1,5107
1,S1,1,750,15,450,250,"0,90","0,10",2,3492
1,S1,1,680,70,430,380,"0,15","0,85",2,3744
1,S1,1,230,110,335,10,"0,70","0,30",1,4793
1,S1,1,450,250,750,15,"0,40","0,60",1,10023
1,S1,1,230,110,335,10,"0,05","0,95",1,2902
1,S1,1,400,180,480,105,"0,85","0,15",1,6250
1,S1,1,400,180,480,105,"0,60","0,40",2,11020
1,S1,2,335,10,230,110,"0,00","1,00",2,2332
1,S1,2,680,70,430,380,"0,15","0,85",2,3199
1,S1,2,450,250,750,15,"0,20","0,80",1,2990
1,S1,2,430,380,680,70,"0,20","0,80",1,3606
1,S1,2,290,60,350,20,"0,30","0,70",1,8482
1,S1,2,750,15,450,250,"0,50","0,50",2,2881
1,S1,2,450,250,750,15,"0,60","0,40",1,2574
1,S1,2,335,10,230,110,"0,40","0,60",2,5254
1,S1,2,290,60,350,20,"0,85","0,15",1,9641
1,S1,2,430,380,680,70,"0,80","0,20",1,2440
1,S1,2,290,60,350,20,"0,70","0,30",1,6686
1,S1,2,430,380,680,70,"0,95","0,05",2,3606
1,S1,2,350,20,290,60,"0,80","0,20",2,5021
1,S1,2,450,250,750,15,"0,10","0,90",1,3937
1,S1,2,230,110,335,10,"0,90","0,10",1,4866
1,S1,2,480,105,400,180,"0,50","0,50",2,9508
1,S1,2,750,15,450,250,"0,15","0,85",2,3577
1,S1,2,750,15,450,250,"0,00","1,00",2,2384
1,S1,2,400,180,480,105,"0,01","0,99",1,2632
1,S1,2,750,15,450,250,"0,99","0,01",1,5615
1,S1,2,290,60,350,20,"0,15","0,85",1,5651
1,S1,2,350,20,290,60,"0,60","0,40",2,3781
1,S1,2,430,380,680,70,"0,90","0,10",1,2628
1,S1,2,450,250,750,15,"0,85","0,15",1,6090
1,S1,2,335,10,230,110,"0,85","0,15",2,3283
1,S1,2,430,380,680,70,"0,30","0,70",1,2519
1,S1,2,350,20,290,60,"0,05","0,95",2,4194
1,S1,2,430,380,680,70,"0,60","0,40",1,3200
1,S1,2,400,180,480,105,"0,95","0,05",2,3999
1,S1,2,290,60,350,20,"0,95","0,05",2,3157
1,S1,2,750,15,450,250,"0,90","0,10",2,5388
1,S1,2,750,15,450,250,"0,05","0,95",2,3530
1,S1,2,680,70,430,380,"0,00","1,00",2,2251
1,S1,2,230,110,335,10,"0,20","0,80",1,3825
1,S1,2,680,70,430,380,"0,01","0,99",2,1558
1,S1,2,400,180,480,105,"0,30","0,70",1,5265
1,S1,2,230,110,335,10,"0,60","0,40",1,5163
1,S1,2,400,180,480,105,"1,00","0,00",2,5289
1,S1,2,335,10,230,110,"0,15","0,85",2,4002
1,S1,2,290,60,350,20,"0,50","0,50",1,2137
1,S1,2,230,110,335,10,"0,50","0,50",1,2531
1,S1,2,480,105,400,180,"0,99","0,01",1,5021
1,S1,2,290,60,350,20,"0,90","0,10",2,9761
1,S1,2,230,110,335,10,"0,95","0,05",2,6059
1,S1,2,230,110,335,10,"0,80","0,20",1,5844
1,S1,2,430,380,680,70,"0,50","0,50",1,1950
1,S1,2,290,60,350,20,"1,00","0,00",2,3960
1,S1,2,230,110,335,10,"0,99","0,01",2,6937
1,S1,2,400,180,480,105,"0,40","0,60",1,13431
1,S1,2,480,105,400,180,"0,00","1,00",2,2083
1,S1,2,230,110,335,10,"0,70","0,30",1,3048
1,S1,2,350,20,290,60,"0,10","0,90",2,3013
1,S1,2,400,180,480,105,"0,20","0,80",1,7740
1,S1,2,680,70,430,380,"0,85","0,15",2,7496
1,S1,2,480,105,400,180,"0,70","0,30",2,4431
1,S1,2,680,70,430,380,"1,00","0,00",1,3515
1,S1,2,230,110,335,10,"0,30","0,70",1,2589
1,S1,2,450,250,750,15,"0,01","0,99",1,3724
1,S1,2,430,380,680,70,"0,70","0,30",1,3990
1,S1,2,750,15,450,250,"0,80","0,20",2,3084
1,S1,2,450,250,750,15,"1,00","0,00",2,1944
1,S1,2,750,15,450,250,"0,70","0,30",2,2443
1,S1,2,290,60,350,20,"0,99","0,01",2,3169
1,S1,2,480,105,400,180,"0,15","0,85",2,11361
1,S1,2,400,180,480,105,"0,85","0,15",1,6250
1,S1,2,335,10,230,110,"1,00","0,00",1,8172
1,S1,2,400,180,480,105,"0,60","0,40",2,4527
1,S1,2,430,380,680,70,"0,10","0,90",1,7399
1,S1,2,680,70,430,380,"0,40","0,60",2,4467
1,S1,2,350,20,290,60,"0,00","1,00",2,3726
